AUC,ROC_mlp,PRC_mlp,ROC_svm,PRC_svm
GO:0000124,0.9349071264,0.2314905989,0.9120697235,0.0711597911
GO:0000151,0.8537180475,0.0827923386,0.7608468351,0.0283141873
GO:0000228,0.9034482759,0.0576105693,0.331661442,0.0036763028
GO:0000323,0.8973557286,0.2186968037,0.8894848514,0.0631664008
GO:0000428,0.8559061628,0.0281001161,0.2414669075,0.0032636796
GO:0000775,0.9164873196,0.3859763414,0.9160403388,0.0888796965
GO:0000776,0.8295349611,0.0487930732,0.5820964008,0.0220020004
GO:0000785,0.64144427,0.0311578373,0.3381475667,0.0045255639
GO:0000790,0.9118897721,0.23239818,0.9044271835,0.1025072472
GO:0000791,0.9166631312,0.1144489562,0.8974627785,0.0545061319
GO:0000792,0.9333641728,0.0872317585,0.7234324789,0.0204815249
GO:0000793,0.97710147,0.1383859604,0.940391382,0.0546340656
GO:0000794,0.7188128807,0.0171022356,0.6688501525,0.0116928117
GO:0000922,0.9028213166,0.0378969861,0.1451410658,0.0018452028
GO:0000932,0.8565057808,0.0778772264,0.5350591906,0.0168204706
GO:0005575,0.9461538462,0.2421571525,0.1555550361,0.0025608385
GO:0005576,0.9852134787,0.9890539821,0.958240176,0.9605688296
GO:0005578,0.7612264365,0.5875740022,0.6789851358,0.5511977221
GO:0005604,0.7571512232,0.0346979006,0.0997106342,0.0024877665
GO:0005615,0.8201195356,0.041202666,0.0214792597,0.0017618644
GO:0005622,0.835168346,0.6696000125,0.8659130007,0.7763079706
GO:0005623,0.9980627166,0.9981007882,0.9980191331,0.9960855864
GO:0005634,0.9965473808,0.997651379,0.9914449968,0.9882928103
GO:0005635,0.9937295111,0.9810569636,0.9732074353,0.8874968729
GO:0005643,0.8736923918,0.0709133525,0.6556448248,0.0160150883
GO:0005652,0.8810984582,0.0491795251,0.3933765742,0.0054312278
GO:0005654,0.9194357367,0.0284187975,0.4517241379,0.0092364825
GO:0005657,0.9497794634,0.6525043518,0.9212858391,0.2353740888
GO:0005667,0.9840125392,0.3481045752,0.2206896552,0.0048857889
GO:0005669,0.9367454658,0.3421056575,0.9356685659,0.1592708569
GO:0005681,0.8661710257,0.0641645019,0.9352216068,0.0497852328
GO:0005694,0.9632907033,0.5420981868,0.9233216804,0.2919173329
GO:0005700,0.9050768562,0.408744437,0.8892407091,0.1822475844
GO:0005701,0.9137107302,0.2895584911,0.9088762491,0.1372923131
GO:0005703,0.910031348,0.0200471207,0.4028213166,0.0080549275
GO:0005705,0.7909248254,0.0847809346,0.8949359927,0.1361490111
GO:0005719,0.8546236782,0.0758675995,0.8735909119,0.0261720582
GO:0005721,0.9504702194,0.0374885349,0.105015674,0.0017536164
GO:0005730,0.9122257053,0.0614028091,0.9426332288,0.0635366044
GO:0005737,0.8806844025,0.0596654436,0.8795557168,0.0463842002
GO:0005739,0.9672915622,0.9175578372,0.8770944027,0.4458978399
GO:0005740,0.8548607775,0.2657256108,0.8134989271,0.0539762567
GO:0005743,0.9084097693,0.0638023033,0.2226813318,0.0037434873
GO:0005764,0.9115987461,0.0410280571,0.1824451411,0.0019261794
GO:0005768,0.8656471607,0.0469203211,0.1665452774,0.0024816134
GO:0005770,0.8905597649,0.0972162853,0.2125461381,0.0043055674
GO:0005773,0.7177285768,0.0092521625,0.2751420993,0.0025605625
GO:0005783,0.8666926669,0.0221624007,0.2414669075,0.0032636796
GO:0005789,0.898012971,0.2633308354,0.8403134731,0.0520823265
GO:0005794,0.9265306122,0.0613208353,0.2087912088,0.0029500218
GO:0005795,0.9170496217,0.3064702799,0.8635517445,0.0592831172
GO:0005811,0.7501149097,0.0215396258,0.4238246975,0.0060814597
GO:0005813,0.9076369283,0.3947099007,0.8740965556,0.242749885
GO:0005814,0.8706632143,0.1181346392,0.8534051066,0.0800186239
GO:0005815,0.7783669532,0.0784073498,0.7176535287,0.0156216696
GO:0005819,0.8423269314,0.0848594103,0.8612316419,0.0663502398
GO:0005828,0.8704523867,0.2051710802,0.8788877414,0.077978406
GO:0005829,0.8636363636,0.0431397849,0.3833855799,0.0082615705
GO:0005840,0.9098002103,0.0954196616,0.8264909973,0.0580757446
GO:0005856,0.9950576919,0.8820791353,0.9907851115,0.9230420394
GO:0005874,0.9598473839,0.7835189691,0.9115092331,0.4006030238
GO:0005875,0.8947486753,0.3330651168,0.9419537711,0.1864737248
GO:0005876,0.936342757,0.6484923202,0.9340736432,0.3964792203
GO:0005886,0.8379905808,0.2537620056,0.7687598116,0.1356737148
GO:0005887,0.8508175344,0.550692185,0.8791742052,0.2561929102
GO:0005911,0.8322882104,0.1957553444,0.0519435365,0.0035980379
GO:0005912,0.8516726944,0.1609713698,0.049954792,0.0065667345
GO:0005918,0.8816980303,0.1542566341,0.266682928,0.0095707532
GO:0005920,0.8100228238,0.1911781301,0.2947258342,0.0610067374
